,device,gpsLat,gpsLon,rx_time,seqNumber,spfact,IPT
802,3432333864377C18,,,2018-12-17 22:58:18.386,,7.0,38.0
803,3432333864377C18,,,2018-12-17 22:58:45.996,,7.0,27.0
804,3432333864377C18,,,2018-12-17 22:59:24.139,,7.0,38.0
805,3432333864377C18,,,2018-12-17 22:59:51.358,,7.0,27.0
809,3432333864377C18,,,2018-12-17 23:03:50.201,,7.0,66.0
810,3432333864377C18,,,2018-12-17 23:04:17.824,,7.0,27.0
813,3432333864377C18,,,2018-12-17 23:07:09.765,,7.0,39.0
814,3432333864377C18,,,2018-12-17 23:07:36.966,,7.0,27.0
817,3432333864377C18,,,2018-12-17 23:10:28.842,,7.0,66.0
818,3432333864377C18,,,2018-12-17 23:10:55.038,,7.0,26.0
819,3432333864377C18,,,2018-12-17 23:11:34.806,,7.0,39.0
820,3432333864377C18,,,2018-12-17 23:12:01.397,,7.0,26.0
821,3432333864377C18,,,2018-12-17 23:12:41.172,,7.0,39.0
822,3432333864377C18,,,2018-12-17 23:13:08.769,,7.0,27.0
839,3432333864377C18,,,2018-12-17 23:22:38.387,,7.0,34.0
840,3432333864377C18,,,2018-12-17 23:22:40.980,,7.0,2.0
903,3432333864377C18,,,2018-12-18 00:02:01.798,,7.0,66.0
904,3432333864377C18,,,2018-12-18 00:02:05.131,,7.0,3.0
905,3432333864377C18,,,2018-12-18 00:02:40.238,,7.0,35.0
906,3432333864377C18,,,2018-12-18 00:02:55.500,,7.0,15.0
913,3432333864377C18,,,2018-12-18 00:07:16.896,,7.0,38.0
914,3432333864377C18,,,2018-12-18 00:07:44.280,,7.0,27.0
915,3432333864377C18,,,2018-12-18 00:08:22.240,,7.0,37.0
916,3432333864377C18,,,2018-12-18 00:08:50.024,,7.0,27.0
917,3432333864377C18,,,2018-12-18 00:09:29.579,,7.0,39.0
918,3432333864377C18,,,2018-12-18 00:09:56.954,,7.0,27.0
919,3432333864377C18,,,2018-12-18 00:10:35.914,,7.0,38.0
920,3432333864377C18,,,2018-12-18 00:11:03.298,,7.0,27.0
921,3432333864377C18,,,2018-12-18 00:11:41.263,,7.0,37.0
922,3432333864377C18,,,2018-12-18 00:12:09.057,,7.0,27.0
923,3432333864377C18,,,2018-12-18 00:12:48.629,,7.0,39.0
924,3432333864377C18,,,2018-12-18 00:13:16.061,,7.0,27.0
962,3432333864377C18,,,2018-12-18 00:47:42.740,,7.0,39.0
963,3432333864377C18,,,2018-12-18 00:48:10.600,,7.0,27.0
964,3432333864377C18,,,2018-12-18 00:48:48.135,,7.0,37.0
965,3432333864377C18,,,2018-12-18 00:49:16.599,,7.0,28.0
967,3432333864377C18,,,2018-12-18 00:51:01.922,,7.0,39.0
968,3432333864377C18,,,2018-12-18 00:51:29.804,,7.0,27.0
969,3432333864377C18,,,2018-12-18 00:52:07.318,,7.0,37.0
970,3432333864377C18,,,2018-12-18 00:52:35.198,,7.0,27.0
971,3432333864377C18,,,2018-12-18 00:53:14.708,,7.0,39.0
972,3432333864377C18,,,2018-12-18 00:53:42.191,,7.0,27.0
973,3432333864377C18,,,2018-12-18 00:54:20.107,,7.0,37.0
974,3432333864377C18,,,2018-12-18 00:54:48.986,,7.0,28.0
977,3432333864377C18,,,2018-12-18 00:57:40.314,,7.0,38.0
978,3432333864377C18,,,2018-12-18 00:58:08.558,,7.0,28.0
979,3432333864377C18,,,2018-12-18 01:00:09.559,,7.0,121.0
980,3432333864377C18,,,2018-12-18 01:00:37.016,,7.0,27.0
986,3432333864377C18,,,2018-12-18 01:08:47.653,,7.0,71.0
987,3432333864377C18,,,2018-12-18 01:09:15.504,,7.0,27.0
988,3432333864377C18,,,2018-12-18 01:09:53.988,,7.0,38.0
989,3432333864377C18,,,2018-12-18 01:10:21.452,,7.0,27.0
990,3432333864377C18,,,2018-12-18 01:10:59.371,,7.0,37.0
991,3432333864377C18,,,2018-12-18 01:11:27.197,,7.0,27.0
992,3432333864377C18,,,2018-12-18 01:12:06.725,,7.0,39.0
993,3432333864377C18,,,2018-12-18 01:12:34.592,,7.0,27.0
994,3432333864377C18,,,2018-12-18 01:13:12.085,,7.0,37.0
995,3432333864377C18,,,2018-12-18 01:13:40.945,,7.0,28.0
1056,3432333864377C18,,,2018-12-18 01:53:01.357,,8.0,34.0
1057,3432333864377C18,,,2018-12-18 01:53:04.904,,8.0,3.0
1058,3432333864377C18,,,2018-12-18 01:54:11.673,,8.0,66.0
1059,3432333864377C18,,,2018-12-18 01:54:14.179,,8.0,2.0
1060,3432333864377C18,,,2018-12-18 01:55:17.657,,8.0,63.0
1061,3432333864377C18,,,2018-12-18 01:55:20.950,,8.0,3.0
1062,3432333864377C18,,,2018-12-18 01:56:24.425,,8.0,63.0
1063,3432333864377C18,,,2018-12-18 01:56:26.318,,8.0,1.0
1064,3432333864377C18,,,2018-12-18 01:57:30.786,,8.0,64.0
1065,3432333864377C18,,,2018-12-18 01:57:33.681,,8.0,2.0
1066,3432333864377C18,,,2018-12-18 01:58:36.145,,8.0,62.0
1067,3432333864377C18,,,2018-12-18 01:58:39.038,,8.0,2.0
1069,3432333864377C18,,,2018-12-18 02:00:49.872,,8.0,66.0
1070,3432333864377C18,,,2018-12-18 02:00:52.767,,8.0,2.0
1071,3432333864377C18,,,2018-12-18 02:01:55.214,,8.0,62.0
1072,3432333864377C18,,,2018-12-18 02:01:58.111,,8.0,2.0
